1334;121232070109;3207270;MTs Madinatunnajah
1335;20211628;3207270; SMPN 1 PANAWANGAN
1336;20211586;3207270; SMPN 3 PANAWANGAN
1337;20253091;3207270; SMPN 4 PANAWANGAN
1338;20211592;3207270; SMP NEGERI 2 PANAWANGAN
1339;121232070039;3207280;MTs Talagasari
1340;20211513;3207280; SMP MUHAMMADIYAH KAWALI
1341;20211633;3207280; SMPN 1 KAWALI
1342;20211652;3207280; SMP NEGERI 2 KAWALI
1343;20211582;3207280; SMP NEGERI 3 KAWALI
1344;121132070003;3207281;MTs Kawali
1345;121232070117;3207281;MTs Nurul Huda Al-Husna
1346;20211622;3207281; SMP NEGERI 2 LUMBUNG
1347;20252313;3207281; SMP NEGERI 1 LUMBUNG
1348;20263182;3207281; SMP IT NURUL HUDA UTSMANIYAH LUMBUNGSARI
1349;121132070007;3207290;MTs Maparah
1350;121232070033;3207290;MTs Al Hidayah Ciomas
1351;121232070034;3207290;MTs Muslimin Panjalu
1352;121232070035;3207290;MTs Al Mansur Hujungtiwu
1353;121232070036;3207290;MTs Bahrul Ulum
1354;121232070037;3207290;MTs Sirnarasa
1355;69948104;3207290; SMP MIFTAHUL KHOER BOARDING SCHOOL
1356;20211594;3207290; SMPN 2 PANJALU
1357;20211630;3207290; SMPN 1 PANJALU
1358;69948101;3207290; SMP IT NURUL HUDA
1359;121132070013;3207291;MTs Mekarwangi
1360;121232070038;3207291;MTs AS-SAKINAH
1361;20253043;3207291; SMPN 2 SUKAMANTRI
1362;20211661;3207291; SMPN 1 SUKAMANTRI
1363;20255305;3207291; SMPN SATU ATAP 1 SUKAMANTRI
1364;121132070004;3207300;MTs Banjarangsana
1365;121232070032;3207300;MTs Miftahul Falah
1366;20253933;3207300; SMP PLUS PERSIS PANUMBANGAN
1367;20211595;3207300; SMPN 2 PANUMBANGAN
1368;20211631;3207300; SMPN 1 PANUMBANGAN
1369;20253051;3207300; SMPN SATU ATAP 1 PANUMBANGAN
1370;20263189;3207300; SMPS NURUL FIRDAUS PANUMBANGAN
1371;20253054;3207300; SMPN 3 PANUMBANGAN
1372;121232730022;3273010;MTs Al Istiqomah
1373;121232730023;3273010;MTs AL-MUAWANAH
1374;121232730024;3273010;MTs Assu`ada
1375;121232730025;3273010;MTs At Taufiq
1376;121232730026;3273010;MTs Atta`zhimiyah
1377;121232730027;3273010;MTs Daarur Rahmah
1378;121232730036;3273010;MTs Al Islam
1379;121232730039;3273010;MTs Aisyah
